sequenceid,subjectid,eye,sensorid,contacts
02463d3882,nd1S02463,Left,nd1N00074,N
02463d3883,nd1S02463,Left,nd1N00074,N
02463d4011,nd1S02463,Left,nd1N00074,N
02463d4056,nd1S02463,Left,nd1N00074,N
02463d4057,nd1S02463,Left,nd1N00074,N
02463d4060,nd1S02463,Right,nd1N00074,N
02463d4063,nd1S02463,Right,nd1N00074,N
02463d4064,nd1S02463,Right,nd1N00074,N
02463d4127,nd1S02463,Left,nd1N00074,N
02463d4131,nd1S02463,Left,nd1N00074,N
02463d4134,nd1S02463,Right,nd1N00074,N
04233d3754,nd1S04233,Left,nd1N00074,N
04233d3755,nd1S04233,Right,nd1N00074,N
04233d3879,nd1S04233,Left,nd1N00074,N
04233d3884,nd1S04233,Right,nd1N00074,N
04233d3888,nd1S04233,Right,nd1N00074,N
04233d4165,nd1S04233,Left,nd1N00074,N
04233d4170,nd1S04233,Left,nd1N00074,N
04233d4171,nd1S04233,Left,nd1N00074,N
04233d4173,nd1S04233,Left,nd1N00074,N
04233d4183,nd1S04233,Right,nd1N00074,N
04233d4193,nd1S04233,Left,nd1N00074,N
04233d4200,nd1S04233,Right,nd1N00074,N
04233d4201,nd1S04233,Right,nd1N00074,N
04233d4207,nd1S04233,Left,nd1N00074,N
04233d4208,nd1S04233,Left,nd1N00074,N
04233d4212,nd1S04233,Left,nd1N00074,N
04233d4214,nd1S04233,Left,nd1N00074,N
04233d4215,nd1S04233,Right,nd1N00074,N
04233d4220,nd1S04233,Right,nd1N00074,N
04233d4234,nd1S04233,Left,nd1N00074,N
04233d4236,nd1S04233,Right,nd1N00074,N
04233d4237,nd1S04233,Right,nd1N00074,N
04233d4238,nd1S04233,Right,nd1N00074,N
04233d4250,nd1S04233,Left,nd1N00074,N
04233d4253,nd1S04233,Left,nd1N00074,N
04233d4271,nd1S04233,Left,nd1N00074,N
04233d4273,nd1S04233,Left,nd1N00074,N
04233d4277,nd1S04233,Right,nd1N00074,N
04233d4285,nd1S04233,Left,nd1N00074,N
04233d4288,nd1S04233,Left,nd1N00074,N
04233d4296,nd1S04233,Right,nd1N00074,N
04233d4302,nd1S04233,Right,nd1N00074,N
04233d4304,nd1S04233,Right,nd1N00074,N
04233d4318,nd1S04233,Left,nd1N00074,N
04233d4330,nd1S04233,Right,nd1N00074,N
04233d4335,nd1S04233,Right,nd1N00074,N
04233d4357,nd1S04233,Right,nd1N00074,N
04233d4360,nd1S04233,Right,nd1N00074,N
04252d1076,nd1S04252,Left,nd1N00074,S
04252d1077,nd1S04252,Left,nd1N00074,S
04252d1078,nd1S04252,Left,nd1N00074,S
04252d1079,nd1S04252,Left,nd1N00074,S
04252d1080,nd1S04252,Left,nd1N00074,S
04252d1081,nd1S04252,Left,nd1N00074,S
04252d1082,nd1S04252,Right,nd1N00074,S
04252d1083,nd1S04252,Right,nd1N00074,S
04252d1084,nd1S04252,Right,nd1N00074,S
04252d1085,nd1S04252,Right,nd1N00074,S
04252d1086,nd1S04252,Right,nd1N00074,S
04252d1087,nd1S04252,Right,nd1N00074,S
04252d1161,nd1S04252,Left,nd1N00074,S
04252d1162,nd1S04252,Left,nd1N00074,S
04252d1163,nd1S04252,Left,nd1N00074,S
04252d1164,nd1S04252,Left,nd1N00074,S
04252d1165,nd1S04252,Left,nd1N00074,S
04252d1166,nd1S04252,Left,nd1N00074,S
