index,partition
491,0.8
14276,0.8
18587,0.8
2970,0.8
12848,0.8
19255,0.8
3396,0.8
969,0.8
17825,0.8
11023,0.8
10676,0.8
9377,0.8
16724,0.8
1970,0.8
17777,0.8
16317,0.8
48,0.8
16,0.8
2656,0.8
14393,0.8
9971,0.8
17196,0.8
10634,0.8
16227,0.8
11517,0.8
17965,0.8
5904,0.8
5080,0.8
12937,0.8
7090,0.8
1004,0.8
9654,0.8
1370,0.8
78,0.8
5358,0.8
3167,0.8
18997,0.8
8463,0.8
18921,0.8
5282,0.8
5265,0.8
4314,0.8
13682,0.8
257,0.8
11906,0.8
12141,0.8
9118,0.8
4399,0.8
19228,0.8
1890,0.8
16881,0.8
18426,0.8
1236,0.8
7273,0.8
15396,0.8
17050,0.8
10465,0.8
15217,0.8
6844,0.8
17472,0.8
11868,0.8
9391,0.8
15747,0.8
7906,0.8
6744,0.8
3102,0.8
18634,0.8
1544,0.8
8286,0.8
14216,0.8
3031,0.8
16523,0.8
15065,0.8
14526,0.8
9489,0.8
15215,0.8
17382,0.8
8245,0.8
1172,0.8
15804,0.8
16478,0.8
2750,0.8
10685,0.8
8669,0.8
16000,0.8
15999,0.8
9083,0.8
18914,0.8
15722,0.8
18873,0.8
12424,0.8
14984,0.8
3416,0.8
7250,0.8
2217,0.8
18729,0.8
8128,0.8
9305,0.8
1521,0.8
16640,0.8
10845,0.8
5259,0.8
11364,0.8
6901,0.8
12279,0.8
18471,0.8
3048,0.8
17159,0.8
11288,0.8
7451,0.8
14041,0.8
835,0.8
1507,0.8
5651,0.8
18429,0.8
1505,0.8
2719,0.8
1433,0.8
8155,0.8
5857,0.8
5985,0.8
10523,0.8
5949,0.8
8712,0.8
10406,0.8
7519,0.8
18569,0.8
1899,0.8
6075,0.8
9764,0.8
12399,0.8
11361,0.8
15234,0.8
18378,0.8
7992,0.8
12073,0.8
5191,0.8
9780,0.8
17305,0.8
6558,0.8
9350,0.8
13232,0.8
16637,0.8
9724,0.8
25,0.8
1732,0.8
15010,0.8
11492,0.8
3505,0.8
13833,0.8
15244,0.8
5114,0.8
11055,0.8
10199,0.8
6067,0.8
9394,0.8
14952,0.8
12636,0.8
14055,0.8
18676,0.8
7886,0.8
789,0.8
16322,0.8
15974,0.8
63,0.8
11134,0.8
11895,0.8
16745,0.8
13380,0.8
6641,0.8
16890,0.8
11850,0.8
8615,0.8
5090,0.8
13696,0.8
18657,0.8
11260,0.8
15698,0.8
2939,0.8
7530,0.8
15742,0.8
18543,0.8
1694,0.8
18437,0.8
9398,0.8
15703,0.8
17948,0.8
1205,0.8
8218,0.8
11011,0.8
3684,0.8
9289,0.8
16848,0.8
15695,0.8
4919,0.8
16576,0.8
14351,0.8
15774,0.8
17964,0.8
10809,0.8
11727,0.8
974,0.8
11775,0.8
7937,0.8
15648,0.8
14313,0.8
19175,0.8
5469,0.8
5686,0.8
10917,0.8
10107,0.8
7883,0.8
5630,0.8
10717,0.8
11818,0.8
12371,0.8
8623,0.8
14072,0.8
9858,0.8
14225,0.8
9798,0.8
982,0.8
16957,0.8
18733,0.8
14093,0.8
5343,0.8
14400,0.8
16250,0.8
15091,0.8
9754,0.8
8339,0.8
15845,0.8
7223,0.8
9582,0.8
11636,0.8
13411,0.8
6952,0.8
4484,0.8
6243,0.8
7737,0.8
3103,0.8
18678,0.8
15074,0.8
17963,0.8
7361,0.8
8686,0.8
18646,0.8
7670,0.8
5633,0.8
9611,0.8
11936,0.8
9692,0.8
16813,0.8
8863,0.8
3419,0.8
17222,0.8
2702,0.8
4140,0.8
881,0.8
19210,0.8
12272,0.8
8788,0.8
16336,0.8
9030,0.8
14505,0.8
8026,0.8
6950,0.8
1582,0.8
19309,0.8
8680,0.8
1664,0.8
17199,0.8
4055,0.8
2251,0.8
17485,0.8
9534,0.8
12559,0.8
13374,0.8
11299,0.8
3162,0.8
7112,0.8
16062,0.8
19252,0.8
5349,0.8
8194,0.8
2826,0.8
6404,0.8
15116,0.8
15204,0.8
14797,0.8
2519,0.8
6431,0.8
13788,0.8
17729,0.8
15696,0.8
14438,0.8
16041,0.8
16532,0.8
2745,0.8
19027,0.8
3456,0.8
11576,0.8
18183,0.8
10431,0.8
6524,0.8
9827,0.8
8590,0.8
770,0.8
2960,0.8
15898,0.8
6520,0.8
5710,0.8
7205,0.8
9220,0.8
18614,0.8
7592,0.8
17780,0.8
1667,0.8
12161,0.8
17356,0.8
2552,0.8
8433,0.8
9314,0.8
12874,0.8
3792,0.8
3075,0.8
11929,0.8
12504,0.8
1020,0.8
8250,0.8
13257,0.8
16615,0.8
807,0.8
14495,0.8
1033,0.8
9952,0.8
14673,0.8
876,0.8
7126,0.8
19206,0.8
15526,0.8
19182,0.8
15655,0.8
3123,0.8
33,0.8
16667,0.8
7634,0.8
3772,0.8
4483,0.8
13621,0.8
1682,0.8
15122,0.8
9589,0.8
11305,0.8
9565,0.8
2145,0.8
11466,0.8
16511,0.8
16255,0.8
7748,0.8
5792,0.8
16875,0.8
7413,0.8
2918,0.8
15456,0.8
10579,0.8
12923,0.8
2711,0.8
14777,0.8
17330,0.8
3428,0.8
6292,0.8
1755,0.8
16538,0.8
2534,0.8
16242,0.8
3210,0.8
6704,0.8
18001,0.8
18687,0.8
4143,0.8
1463,0.8
7192,0.8
15083,0.8
8595,0.8
18648,0.8
5784,0.8
12976,0.8
8067,0.8
1841,0.8
11606,0.8
14958,0.8
15278,0.8
19030,0.8
5323,0.8
16668,0.8
3324,0.8
2607,0.8
7811,0.8
15040,0.8
692,0.8
1568,0.8
6137,0.8
12568,0.8
5713,0.8
5503,0.8
856,0.8
3,0.8
3688,0.8
1934,0.8
2650,0.8
7202,0.8
17885,0.8
11115,0.8
7415,0.8
1271,0.8
2645,0.8
188,0.8
9972,0.8
3451,0.8
2692,0.8
16569,0.8
6989,0.8
6699,0.8
2581,0.8
5641,0.8
18351,0.8
14435,0.8
13066,0.8
18886,0.8
8076,0.8
18211,0.8
18629,0.8
9918,0.8
18060,0.8
17438,0.8
1403,0.8
1812,0.8
18434,0.8
16239,0.8
11166,0.8
4651,0.8
6818,0.8
5627,0.8
16617,0.8
14097,0.8
6504,0.8
895,0.8
8617,0.8
8696,0.8
7311,0.8
19025,0.8
18705,0.8
7001,0.8
14867,0.8
17665,0.8
17314,0.8
893,0.8
15436,0.8
7473,0.8
14616,0.8
15649,0.8
1894,0.8
10189,0.8
16744,0.8
651,0.8
17979,0.8
15523,0.8
5195,0.8
10517,0.8
9697,0.8
15243,0.8
1369,0.8
10532,0.8
12166,0.8
13393,0.8
4228,0.8
7047,0.8
10328,0.8
11951,0.8
9816,0.8
14320,0.8
1209,0.8
11247,0.8
9873,0.8
14583,0.8
13101,0.8
1450,0.8
8702,0.8
16130,0.8
13148,0.8
17294,0.8
17407,0.8
9865,0.8
17807,0.8
9624,0.8
2342,0.8
9253,0.8
9755,0.8
19010,0.8
9645,0.8
18931,0.8
8414,0.8
432,0.8
18911,0.8
15121,0.8
17717,0.8
3798,0.8
1910,0.8
2545,0.8
12372,0.8
3295,0.8
6065,0.8
17446,0.8
15148,0.8
13698,0.8
3369,0.8
6835,0.8
14748,0.8
17398,0.8
17692,0.8
18661,0.8
922,0.8
3188,0.8
1104,0.8
17319,0.8
12449,0.8
19216,0.8
15188,0.8
8643,0.8
16346,0.8
8299,0.8
7375,0.8
6996,0.8
18793,0.8
2198,0.8
613,0.8
16278,0.8
9831,0.8
4487,0.8
15765,0.8
11960,0.8
7303,0.8
1708,0.8
19337,0.8
3695,0.8
15431,0.8
5252,0.8
17728,0.8
11286,0.8
5951,0.8
6663,0.8
17281,0.8
9733,0.8
17169,0.8
14953,0.8
12391,0.8
6931,0.8
351,0.8
7941,0.8
9255,0.8
3870,0.8
19334,0.8
16254,0.8
5589,0.8
4664,0.8
2018,0.8
17548,0.8
11875,0.8
19312,0.8
15319,0.8
14771,0.8
17773,0.8
7209,0.8
5621,0.8
10076,0.8
15230,0.8
11175,0.8
11212,0.8
17121,0.8
9651,0.8
15810,0.8
1496,0.8
7017,0.8
19097,0.8
13160,0.8
3669,0.8
16643,0.8
9735,0.8
6657,0.8
13918,0.8
12135,0.8
3693,0.8
3387,0.8
12957,0.8
5616,0.8
3691,0.8
9997,0.8
17088,0.8
9120,0.8
7069,0.8
12800,0.8
14310,0.8
10853,0.8
15184,0.8
17528,0.8
7461,0.8
14346,0.8
12549,0.8
2031,0.8
8359,0.8
2964,0.8
6777,0.8
4311,0.8
14538,0.8
8063,0.8
15211,0.8
14489,0.8
16349,0.8
6876,0.8
8457,0.8
14789,0.8
16812,0.8
10411,0.8
10136,0.8
17558,0.8
17550,0.8
16669,0.8
8419,0.8
4556,0.8
18835,0.8
2944,0.8
18867,0.8
9871,0.8
17516,0.8
15212,0.8
16246,0.8
16706,0.8
2940,0.8
15085,0.8
4782,0.8
98,0.8
6453,0.8
16412,0.8
17998,0.8
4586,0.8
1362,0.8
1395,0.8
11764,0.8
5829,0.8
1193,0.8
10641,0.8
13484,0.8
11533,0.8
13238,0.8
13356,0.8
15984,0.8
14913,0.8
10445,0.8
10048,0.8
3091,0.8
17432,0.8
3975,0.8
11281,0.8
11934,0.8
11234,0.8
18915,0.8
9482,0.8
18642,0.8
1651,0.8
18188,0.8
17239,0.8
2619,0.8
6541,0.8
17131,0.8
9037,0.8
645,0.8
12551,0.8
14425,0.8
9599,0.8
17512,0.8
15620,0.8
13705,0.8
18859,0.8
9926,0.8
14037,0.8
9581,0.8
14628,0.8
4056,0.8
1863,0.8
8199,0.8
1696,0.8
5462,0.8
15801,0.8
14284,0.8
5587,0.8
8153,0.8
12840,0.8
17264,0.8
12001,0.8
14868,0.8
9208,0.8
10749,0.8
7081,0.8
9942,0.8
13223,0.8
2843,0.8
9258,0.8
2318,0.8
17614,0.8
2937,0.8
17436,0.8
8935,0.8
5098,0.8
6679,0.8
6678,0.8
15905,0.8
2574,0.8
13527,0.8
2577,0.8
9610,0.8
19293,0.8
17143,0.8
259,0.8
11920,0.8
2874,0.8
18465,0.8
17173,0.8
17454,0.8
1347,0.8
15380,0.8
3294,0.8
506,0.8
3421,0.8
4954,0.8
11475,0.8
17617,0.8
11290,0.8
2721,0.8
17430,0.8
5431,0.8
15977,0.8
9508,0.8
18319,0.8
14510,0.8
8084,0.8
2601,0.8
18058,0.8
19090,0.8
6728,0.8
4659,0.8
14678,0.8
11227,0.8
14458,0.8
17263,0.8
16203,0.8
18771,0.8
9045,0.8
9058,0.8
19098,0.8
17037,0.8
15669,0.8
8847,0.8
16947,0.8
9411,0.8
15295,0.8
11900,0.8
18830,0.8
6445,0.8
13353,0.8
11877,0.8
19288,0.8
8210,0.8
17117,0.8
9659,0.8
1603,0.8
3672,0.8
17073,0.8
1640,0.8
16892,0.8
8825,0.8
19143,0.8
16527,0.8
2557,0.8
17005,0.8
18610,0.8
13890,0.8
10038,0.8
10632,0.8
18396,0.8
13858,0.8
12078,0.8
5072,0.8
15288,0.8
28,0.8
19007,0.8
2212,0.8
7916,0.8
10706,0.8
6801,0.8
1594,0.8
16512,0.8
6878,0.8
14430,0.8
15258,0.8
10085,0.8
3047,0.8
8178,0.8
16592,0.8
6386,0.8
8319,0.8
8432,0.8
16891,0.8
15723,0.8
15369,0.8
14066,0.8
6300,0.8
5106,0.8
11518,0.8
9795,0.8
7095,0.8
980,0.8
16463,0.8
6364,0.8
2838,0.8
17408,0.8
16123,0.8
13512,0.8
15026,0.8
11026,0.8
7659,0.8
5079,0.8
10121,0.8
9315,0.8
1802,0.8
18519,0.8
9849,0.8
2854,0.8
14676,0.8
17015,0.8
16166,0.8
1108,0.8
6826,0.8
1437,0.8
2516,0.8
12893,0.8
7130,0.8
14580,0.8
6762,0.8
4413,0.8
1026,0.8
2765,0.8
1438,0.8
16354,0.8
7627,0.8
10949,0.8
6105,0.8
7667,0.8
6441,0.8
9028,0.8
18417,0.8
15082,0.8
2523,0.8
10724,0.8
7920,0.8
1734,0.8
16899,0.8
5310,0.8
16941,0.8
10598,0.8
1884,0.8
6171,0.8
14280,0.8
16867,0.8
18750,0.8
19149,0.8
8890,0.8
15674,0.8
12373,0.8
18816,0.8
8050,0.8
11216,0.8
14783,0.8
1349,0.8
13146,0.8
10897,0.8
5298,0.8
2872,0.8
6638,0.8
8813,0.8
15547,0.8
8978,0.8
16843,0.8
65,0.8
5523,0.8
2184,0.8
16056,0.8
5679,0.8
15693,0.8
5254,0.8
15313,0.8
284,0.8
3424,0.8
1342,0.8
6831,0.8
6402,0.8
11203,0.8
3030,0.8
5267,0.8
5365,0.8
17352,0.8
4930,0.8
8361,0.8
4595,0.8
15665,0.8
7354,0.8
11834,0.8
16982,0.8
13830,0.8
15143,0.8
17246,0.8
1005,0.8
222,0.8
9505,0.8
17559,0.8
17379,0.8
17952,0.8
4848,0.8
16373,0.8
7385,0.8
13579,0.8
14604,0.8
15071,0.8
8107,0.8
9915,0.8
19250,0.8
5876,0.8
11255,0.8
15672,0.8
16541,0.8
17941,0.8
8827,0.8
9616,0.8
5694,0.8
14524,0.8
6712,0.8
9384,0.8
7971,0.8
13768,0.8
18320,0.8
899,0.8
3803,0.8
14561,0.8
12481,0.8
9820,0.8
14380,0.8
5407,0.8
12543,0.8
4937,0.8
8335,0.8
5639,0.8
17161,0.8
11201,0.8
5646,0.8
10519,0.8
15281,0.8
9729,0.8
11030,0.8
7522,0.8
17100,0.8
13052,0.8
13962,0.8
7774,0.8
15147,0.8
11005,0.8
4207,0.8
9165,0.8
14595,0.8
2216,0.8
1558,0.8
2864,0.8
668,0.8
2895,0.8
12044,0.8
18487,0.8
15076,0.8
8914,0.8
1211,0.8
1871,0.8
13751,0.8
19194,0.8
2622,0.8
17211,0.8
15942,0.8
14965,0.8
11184,0.8
9664,0.8
8403,0.8
5597,0.8
10437,0.8
16151,0.8
663,0.8
19011,0.8
11502,0.8
15225,0.8
1174,0.8
1447,0.8
17536,0.8
9817,0.8
10089,0.8
17552,0.8
16229,0.8
4827,0.8
10681,0.8
2738,0.8
13201,0.8
4225,0.8
4120,0.8
1509,0.8
2718,0.8
16350,0.8
2331,0.8
11349,0.8
10770,0.8
14819,0.8
18019,0.8
8019,0.8
2118,0.8
15254,0.8
11176,0.8
16583,0.8
12614,0.8
3124,0.8
5168,0.8
15067,0.8
2163,0.8
17946,0.8
17793,0.8
17623,0.8
13245,0.8
3074,0.8
17434,0.8
818,0.8
9548,0.8
2175,0.8
1733,0.8
1418,0.8
18820,0.8
10342,0.8
6001,0.8
11561,0.8
12557,0.8
15119,0.8
1904,0.8
13046,0.8
7986,0.8
17685,0.8
1180,0.8
13139,0.8
18219,0.8
5261,0.8
5573,0.8
7240,0.8
10907,0.8
16417,0.8
10979,0.8
9980,0.8
9264,0.8
12837,0.8
3764,0.8
18034,0.8
16894,0.8
12763,0.8
5318,0.8
8868,0.8
7582,0.8
16191,0.8
2866,0.8
13841,0.8
12862,0.8
1679,0.8
17908,0.8
17565,0.8
2356,0.8
15709,0.8
17231,0.8
6809,0.8
1213,0.8
18014,0.8
5807,0.8
7726,0.8
8364,0.8
13379,0.8
6714,0.8
10427,0.8
11100,0.8
18764,0.8
8878,0.8
18918,0.8
9906,0.8
15078,0.8
6507,0.8
6869,0.8
1850,0.8
15117,0.8
8113,0.8
17597,0.8
18800,0.8
18799,0.8
11493,0.8
999,0.8
1356,0.8
3795,0.8
6781,0.8
6512,0.8
2333,0.8
1999,0.8
8600,0.8
492,0.8
16725,0.8
8579,0.8
218,0.8
18900,0.8
7946,0.8
3705,0.8
6465,0.8
13756,0.8
17181,0.8
6347,0.8
6554,0.8
1814,0.8
15604,0.8
14763,0.8
14936,0.8
19195,0.8
7674,0.8
13158,0.8
10201,0.8
10104,0.8
13147,0.8
16878,0.8
15532,0.8
16661,0.8
6577,0.8
1745,0.8
6336,0.8
13161,0.8
2620,0.8
9527,0.8
7945,0.8
2396,0.8
6955,0.8
14390,0.8
8791,0.8
9525,0.8
16582,0.8
17292,0.8
4650,0.8
10253,0.8
19152,0.8
9130,0.8
17422,0.8
6264,0.8
18695,0.8
3305,0.8
14756,0.8
1318,0.8
12868,0.8
3079,0.8
18582,0.8
1791,0.8
5599,0.8
5733,0.8
3850,0.8
10792,0.8
8838,0.8
4763,0.8
7855,0.8
2080,0.8
4418,0.8
5662,0.8
18576,0.8
847,0.8
5288,0.8
15428,0.8
18988,0.8
2807,0.8
16154,0.8
2674,0.8
14931,0.8
3985,0.8
14921,0.8
9840,0.8
11372,0.8
8051,0.8
15481,0.8
2009,0.8
14918,0.8
12014,0.8
1813,0.8
9415,0.8
3181,0.8
9256,0.8
9541,0.8
7279,0.8
18096,0.8
1274,0.8
7241,0.8
14816,0.8
4576,0.8
10703,0.8
17329,0.8
11356,0.8
6267,0.8
2173,0.8
9504,0.8
4033,0.8
9855,0.8
18026,0.8
15580,0.8
6334,0.8
13570,0.8
16054,0.8
16314,0.8
11108,0.8
10686,0.8
16885,0.8
5272,0.8
10998,0.8
6479,0.8
4061,0.8
11556,0.8
6328,0.8
340,0.8
10221,0.8
17175,0.8
12327,0.8
5781,0.8
14149,0.8
18738,0.8
9958,0.8
4248,0.8
6833,0.8
19307,0.8
16125,0.8
7222,0.8
14709,0.8
6958,0.8
15944,0.8
18866,0.8
9570,0.8
5165,0.8
15775,0.8
8215,0.8
5325,0.8
9830,0.8
3088,0.8
5913,0.8
5274,0.8
15993,0.8
6020,0.8
11890,0.8
9351,0.8
794,0.8
6329,0.8
19279,0.8
16129,0.8
10535,0.8
17381,0.8
3008,0.8
15991,0.8
1718,0.8
9186,0.8
8195,0.8
9688,0.8
6029,0.8
12091,0.8
10398,0.8
5344,0.8
1056,0.8
17448,0.8
5424,0.8
15302,0.8
16258,0.8
19154,0.8
8002,0.8
1091,0.8
13803,0.8
6233,0.8
13973,0.8
13525,0.8
10718,0.8
12628,0.8
11102,0.8
7599,0.8
15603,0.8
2189,0.8
2794,0.8
12214,0.8
13927,0.8
2294,0.8
1262,0.8
12565,0.8
13836,0.8
1942,0.8
6492,0.8
614,0.8
4605,0.8
4868,0.8
15608,0.8
16050,0.8
16895,0.8
11218,0.8
15205,0.8
9686,0.8
17799,0.8
8110,0.8
276,0.8
11121,0.8
15440,0.8
7245,0.8
2372,0.8
4221,0.8
11376,0.8
17061,0.8
19092,0.8
19237,0.8
2058,0.8
7831,0.8
19338,0.8
14281,0.8
16268,0.8
18051,0.8
2785,0.8
7915,0.8
2666,0.8
13936,0.8
6356,0.8
15630,0.8
14222,0.8
8818,0.8
16671,0.8
15285,0.8
18303,0.8
17622,0.8
11052,0.8
16302,0.8
1415,0.8
1658,0.8
17219,0.8
9043,0.8
12655,0.8
2567,0.8
10311,0.8
4670,0.8
18020,0.8
18097,0.8
9718,0.8
16652,0.8
14886,0.8
8213,0.8
3702,0.8
18922,0.8
10762,0.8
13496,0.8
17440,0.8
4918,0.8
7110,0.8
1406,0.8
7999,0.8
2560,0.8
12756,0.8
8047,0.8
4231,0.8
16923,0.8
11964,0.8
12523,0.8
5447,0.8
4336,0.8
9626,0.8
7165,0.8
10512,0.8
12075,0.8
4313,0.8
7122,0.8
16736,0.8
3150,0.8
2616,0.8
7995,0.8
9466,0.8
2394,0.8
2369,0.8
10930,0.8
16565,0.8
1795,0.8
3219,0.8
4679,0.8
17962,0.8
10301,0.8
17594,0.8
8228,0.8
4752,0.8
9464,0.8
8717,0.8
9656,0.8
15269,0.8
6766,0.8
6236,0.8
18181,0.8
3794,0.8
4662,0.8
14101,0.8
18166,0.8
7408,0.8
17256,0.8
1124,0.8
12694,0.8
11104,0.8
16502,0.8
6495,0.8
3349,0.8
13842,0.8
17455,0.8
18691,0.8
7100,0.8
15344,0.8
2992,0.8
9211,0.8
5379,0.8
1828,0.8
17712,0.8
12817,0.8
17541,0.8
13734,0.8
13422,0.8
14080,0.8
7620,0.8
100,0.8
17703,0.8
2801,0.8
5806,0.8
10712,0.8
11293,0.8
17882,0.8
121,0.8
1272,0.8
7200,0.8
3157,0.8
15158,0.8
11266,0.8
16683,0.8
15051,0.8
7965,0.8
2796,0.8
18264,0.8
16693,0.8
981,0.8
13757,0.8
17615,0.8
7762,0.8
15451,0.8
13417,0.8
7266,0.8
7386,0.8
18870,0.8
15894,0.8
3070,0.8
1958,0.8
22,0.8
19266,0.8
6566,0.8
15517,0.8
17576,0.8
12810,0.8
17414,0.8
5444,0.8
15795,0.8
7800,0.8
10336,0.8
10720,0.8
5493,0.8
1588,0.8
15317,0.8
10289,0.8
783,0.8
1171,0.8
269,0.8
5327,0.8
16398,0.8
11837,0.8
10939,0.8
16612,0.8
14767,0.8
3028,0.8
13865,0.8
17629,0.8
17168,0.8
808,0.8
956,0.8
3453,0.8
3127,0.8
5172,0.8
15488,0.8
17086,0.8
14341,0.8
5926,0.8
17383,0.8
19102,0.8
16977,0.8
4947,0.8
16197,0.8
5919,0.8
3876,0.8
3972,0.8
6769,0.8
12050,0.8
17096,0.8
2911,0.8
16271,0.8
18081,0.8
8387,0.8
12985,0.8
11039,0.8
15828,0.8
15365,0.8
11979,0.8
